query	concept	2016	2017
apple	apple	49	50
apple	cook	6	11
apple	iphone	12	5
apple computer	apple	50	48
apple computer	macbook	16	4
apple computer	ipad	8	8
apple computer	pro	14	14
apple computer	pc	12	4
apple computer	computer	42	45
apple mac	apple	50	50
apple mac	iphone	7	9
apple mac	pro	22	20
apple mac	mac	46	52
apple mac	year	6	10
iPhone	apple	40	31
iPhone	iphone	54	52
iPhone	phone	13	5
iPod	music	18	13
iPod	apple	31	30
iPod	iphone	14	9
iPod	ipod	57	56
iPod	shuffle	5	10
apple juice	cider	38	39
apple juice	juice	31	29
apple juice	drink	11	15
apple juice	vinegar	8	19
apple juice	apple	51	50
juice	juice	61	58
juice	fruit	9	13
orange juice	juice	46	45
orange juice	florida	11	15
orange juice	orange	65	59
orange juice	fruit	8	12
