concept	apple	cook	iphone	macbook	ipad	pro	pc	computer	mac	year	phone	music	ipod	shuffle	cider	juice	drink	vinegar	fruit	florida	orange
apple	0.0	-0.0325	0.019	0.0725	-0.0141	-0.00795	0.0135	-0.0262	-0.00506	1.0	0.01045	0.0863	-0.0041	-0.0451	0.0045	0.0	0.0757	-0.0675	-0.1652	0.174	-0.001
cook	0.0	0.0	-0.0228	-0.0394	0.007	0.04446	-0.0507	-0.0545	0.0039	1.0	-0.0225	-0.0257	-0.0207	-0.0159	-0.0106	-0.0185	0.0377	-0.0079	-0.0172	-0.0102	-0.0321
iphone	0.0	0.0	0.0	0.0426	0.0574	0.02055	0.016	-0.01387	-0.08673	1.0	0.0317	0.0237	-0.0004	-0.0378	0.0087	0.01794	0.026	-0.0428	-0.0284	0.0298	0.0036
macbook	0.0	0.0	0.0	0.0	0.1378	0.0998	-0.1138	-0.1375	0.0882	1.0	0.0451	-0.0283	0.0415	-0.0248	0.0341	0.0578	0.03625	-0.0102	-0.006	-0.02	0.0283
ipad	0.0	0.0	0.0	0.0	0.0	-0.0061	0.212	-0.0486	0.001	1.0	0.0564	0.0336	0.0078	-0.0039	0.0205	0.0175	0.0553	-0.0057	0.0015	0.0107	0.0058
pro	0.0	0.0	0.0	0.0	0.0	0.0	0.0716	-0.0685	-0.00299	1.0	0.0172	0.02016	0.0	-0.0357	-0.00943	0.0	0.0678	-0.09875	-0.0821	0.03885	0.0
pc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0201	0.0369	1.0	0.0166	-0.06015	0.0187	-0.0297	0.016	0.0295	0.0291	-0.0143	-0.0133	-0.0271	0.0052
computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0111	1.0	-0.01349	-0.0214	-0.1116	-0.0531	-0.015	-0.00685	0.00497	-0.0539	-0.0507	-0.04645	-0.02473
mac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0982	0.0155	0.1405	-0.0413	0.0018	-0.10187	0.0226	-0.05	-0.1191	-0.0273	-0.005
year	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05588	0.01782	0.02	-0.009	0.01239	0.0584	0.04953	-0.00567	0.07574	0.0896	-0.02187
phone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053	-0.0025	-0.0381	0.0085	0.01697	0.02466	-0.0433	-0.0275	0.0395	0.0036
music	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0134	0.2961	0.0168	0.0229	0.0425	-0.0046	-0.004	-0.0043	-0.0004
ipod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0612	0.0051	0.0083	0.0263	-0.0432	-0.0289	-0.0192	-0.0019
shuffle	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.027	-0.0364	0.024	-0.0371	-0.0332	-0.0231	-0.0459
cider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0842	0.075	-0.1508	-0.0231	-0.0151	-0.0032
juice	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0264	-0.0486	-0.0642	-0.0025	0.0022
drink	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.138	0.03287	-0.0071
vinegar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0387	-0.0259	-0.0511
fruit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0225	-0.04477
florida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0303
orange	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
