concept	year	apple	apple computer	apple mac	iPhone	iPod	apple juice	juice	orange juice
apple	2016	0.0	0.4736	0.596	0.8906	0.5522	0.4854	0.0	0.0
apple computer	2016	0.0	0.0	0.498	0.3613	0.3035	0.3594	0.0	0.0
apple mac	2016	0.0	0.0	0.0	0.6343	0.3984	0.374	0.0	0.0
iPhone	2016	0.0	0.0	0.0	0.0	0.599	0.3699	0.0	0.0
iPod	2016	0.0	0.0	0.0	0.0	0.0	0.3105	0.0	0.0
apple juice	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.4402	0.2861
juice	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62
orange juice	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
apple	2017	0.0	0.5186	0.551	0.896	0.5107	0.4587	0.0	0.0
apple computer	2017	0.0	0.0	0.5	0.3745	0.3237	0.3564	0.0	0.0
apple mac	2017	0.0	0.0	0.0	0.62	0.3784	0.3413	0.0	0.0
iPhone	2017	0.0	0.0	0.0	0.0	0.5923	0.3374	0.0	0.0
iPod	2017	0.0	0.0	0.0	0.0	0.0	0.2964	0.0	0.0
apple juice	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.3901	0.2615
juice	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.634
orange juice	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
